2021-07-29 12:29:58, 2021-07-29 12:34:55, 2021-07-29 12:30:04, 8, 06,02,07,10,05,03,01,09,04,08, 0.69, 9.66
2021-07-29 12:24:58, 2021-07-29 12:29:55, 2021-07-29 12:25:05, 8, 09,05,01,03,02,06,04,08,10,07, 0.62, 0.0
2021-07-29 12:24:58, 2021-07-29 12:29:55, 2021-07-29 12:25:05, 14, 09,05,01,03,02,06,04,08,10,07, 0.55, 7.7
2021-07-29 12:19:58, 2021-07-29 12:24:55, 2021-07-29 12:20:04, 15, 08,07,10,02,01,05,09,04,03,06, 0.39, 5.46
2021-07-29 12:19:58, 2021-07-29 12:24:55, 2021-07-29 12:20:04, 8, 08,07,10,02,01,05,09,04,03,06, 0.55, 0.0
2021-07-29 12:19:58, 2021-07-29 12:24:55, 2021-07-29 12:20:04, 14, 08,07,10,02,01,05,09,04,03,06, 0.49, 0.0
2021-07-29 12:14:58, 2021-07-29 12:19:55, 2021-07-29 12:15:06, 4, 03,01,05,08,02,09,04,07,06,10, 0.09, 3.78
2021-07-29 12:14:58, 2021-07-29 12:19:55, 2021-07-29 12:15:06, 15, 03,01,05,08,02,09,04,07,06,10, 0.35, 0.0
2021-07-29 12:14:58, 2021-07-29 12:19:55, 2021-07-29 12:15:06, 8, 03,01,05,08,02,09,04,07,06,10, 0.49, 0.0
2021-07-29 12:14:58, 2021-07-29 12:19:55, 2021-07-29 12:15:06, 14, 03,01,05,08,02,09,04,07,06,10, 0.44, 0.0
2021-07-29 12:09:58, 2021-07-29 12:14:55, 2021-07-29 12:10:06, 4, 01,02,04,08,06,05,07,03,10,09, 0.09, 0.0
2021-07-29 12:09:58, 2021-07-29 12:14:55, 2021-07-29 12:10:06, 3, 01,02,04,08,06,05,07,03,10,09, 0.09, 3.78
2021-07-29 12:09:58, 2021-07-29 12:14:55, 2021-07-29 12:10:06, 15, 01,02,04,08,06,05,07,03,10,09, 0.31, 0.0
2021-07-29 12:09:58, 2021-07-29 12:14:55, 2021-07-29 12:10:06, 8, 01,02,04,08,06,05,07,03,10,09, 0.44, 0.0
2021-07-29 12:09:58, 2021-07-29 12:14:55, 2021-07-29 12:10:06, 14, 01,02,04,08,06,05,07,03,10,09, 0.39, 0.0
2021-07-29 12:04:58, 2021-07-29 12:09:55, 2021-07-29 12:05:05, 4, 09,10,07,01,03,08,06,02,05,04, 0.08, 0.0
2021-07-29 12:04:58, 2021-07-29 12:09:55, 2021-07-29 12:05:05, 3, 09,10,07,01,03,08,06,02,05,04, 0.09, 0.0
2021-07-29 12:04:58, 2021-07-29 12:09:55, 2021-07-29 12:05:05, 15, 09,10,07,01,03,08,06,02,05,04, 0.28, 0.0
2021-07-29 12:04:58, 2021-07-29 12:09:55, 2021-07-29 12:05:05, 8, 09,10,07,01,03,08,06,02,05,04, 0.39, 0.0
2021-07-29 12:04:58, 2021-07-29 12:09:55, 2021-07-29 12:05:05, 14, 09,10,07,01,03,08,06,02,05,04, 0.35, 0.0
2021-07-29 11:59:58, 2021-07-29 12:04:55, 2021-07-29 12:00:07, 4, 08,10,03,07,04,01,05,02,06,09, 0.08, 0.0
2021-07-29 11:59:58, 2021-07-29 12:04:55, 2021-07-29 12:00:07, 3, 08,10,03,07,04,01,05,02,06,09, 0.08, 0.0
2021-07-29 11:59:58, 2021-07-29 12:04:55, 2021-07-29 12:00:07, 15, 08,10,03,07,04,01,05,02,06,09, 0.25, 0.0
2021-07-29 11:59:58, 2021-07-29 12:04:55, 2021-07-29 12:00:07, 8, 08,10,03,07,04,01,05,02,06,09, 0.35, 0.0
2021-07-29 11:59:58, 2021-07-29 12:04:55, 2021-07-29 12:00:07, 14, 08,10,03,07,04,01,05,02,06,09, 0.31, 0.0
2021-07-29 11:54:58, 2021-07-29 11:59:55, 2021-07-29 11:55:05, 4, 01,05,08,02,10,03,06,07,09,04, 0.08, 0.0
2021-07-29 11:54:58, 2021-07-29 11:59:55, 2021-07-29 11:55:05, 3, 01,05,08,02,10,03,06,07,09,04, 0.08, 0.0
2021-07-29 11:54:58, 2021-07-29 11:59:55, 2021-07-29 11:55:05, 15, 01,05,08,02,10,03,06,07,09,04, 0.22, 0.0
2021-07-29 11:54:58, 2021-07-29 11:59:55, 2021-07-29 11:55:05, 8, 01,05,08,02,10,03,06,07,09,04, 0.31, 0.0
2021-07-29 11:54:58, 2021-07-29 11:59:55, 2021-07-29 11:55:05, 14, 01,05,08,02,10,03,06,07,09,04, 0.28, 0.0
2021-07-29 11:49:58, 2021-07-29 11:54:55, 2021-07-29 11:50:06, 3, 10,03,06,04,02,08,09,07,01,05, 0.08, 0.0
2021-07-29 11:49:58, 2021-07-29 11:54:55, 2021-07-29 11:50:06, 4, 10,03,06,04,02,08,09,07,01,05, 0.08, 0.0
2021-07-29 11:49:58, 2021-07-29 11:54:55, 2021-07-29 11:50:06, 15, 10,03,06,04,02,08,09,07,01,05, 0.2, 0.0
2021-07-29 11:49:58, 2021-07-29 11:54:55, 2021-07-29 11:50:06, 8, 10,03,06,04,02,08,09,07,01,05, 0.28, 0.0
2021-07-29 11:49:58, 2021-07-29 11:54:55, 2021-07-29 11:50:06, 14, 10,03,06,04,02,08,09,07,01,05, 0.25, 0.0
2021-07-29 11:44:58, 2021-07-29 11:49:55, 2021-07-29 11:45:04, 4, 01,04,05,06,07,09,10,03,02,08, 0.08, 0.0
2021-07-29 11:44:58, 2021-07-29 11:49:55, 2021-07-29 11:45:04, 3, 01,04,05,06,07,09,10,03,02,08, 0.08, 0.0
2021-07-29 11:44:58, 2021-07-29 11:49:55, 2021-07-29 11:45:04, 15, 01,04,05,06,07,09,10,03,02,08, 0.18, 0.0
2021-07-29 11:44:58, 2021-07-29 11:49:55, 2021-07-29 11:45:04, 8, 01,04,05,06,07,09,10,03,02,08, 0.25, 0.0
2021-07-29 11:44:58, 2021-07-29 11:49:55, 2021-07-29 11:45:04, 14, 01,04,05,06,07,09,10,03,02,08, 0.22, 0.0
2021-07-29 11:39:58, 2021-07-29 11:44:55, 2021-07-29 11:40:08, 4, 10,06,07,01,02,09,03,05,08,04, 0.08, 0.0
2021-07-29 11:39:58, 2021-07-29 11:44:55, 2021-07-29 11:40:08, 3, 10,06,07,01,02,09,03,05,08,04, 0.08, 0.0
2021-07-29 11:39:58, 2021-07-29 11:44:55, 2021-07-29 11:40:08, 15, 10,06,07,01,02,09,03,05,08,04, 0.16, 0.0
2021-07-29 11:39:58, 2021-07-29 11:44:55, 2021-07-29 11:40:08, 8, 10,06,07,01,02,09,03,05,08,04, 0.22, 0.0
2021-07-29 11:39:58, 2021-07-29 11:44:55, 2021-07-29 11:40:08, 14, 10,06,07,01,02,09,03,05,08,04, 0.2, 0.0
2021-07-29 11:34:58, 2021-07-29 11:39:55, 2021-07-29 11:35:07, 4, 05,06,03,04,10,07,08,09,02,01, 0.08, 0.0
2021-07-29 11:34:58, 2021-07-29 11:39:55, 2021-07-29 11:35:07, 3, 05,06,03,04,10,07,08,09,02,01, 0.08, 0.0
2021-07-29 11:34:58, 2021-07-29 11:39:55, 2021-07-29 11:35:07, 8, 05,06,03,04,10,07,08,09,02,01, 0.2, 0.0
